CustomerID,CustomerName,Segment,RegionID,JoinDate,CustomerTier
C0001,Pooja Singh,Corporate,R03,2022-07-21,Silver
C0002,Meera Malhotra,Consumer,R08,2022-01-17,Standard
C0003,Aditi Patel,Consumer,R06,2022-11-18,Standard
C0004,Aditi Singh,Consumer,R05,2023-06-02,Standard
C0005,Neha Mehta,Consumer,R01,2025-09-10,Silver
C0006,Priya Patel,Corporate,R01,2025-12-06,Standard
C0007,Rohan Sharma,Corporate,R01,2025-09-03,Gold
C0008,Ankit Gupta,Consumer,R07,2023-11-12,Standard
C0009,Arjun Verma,Consumer,R05,2025-01-10,Standard
C0010,Kabir Kumar,Small Business,R05,2023-03-01,Silver
C0011,Kabir Mishra,Consumer,R01,2025-05-12,Silver
C0012,Priya Kumar,Consumer,R08,2024-10-15,Standard
C0013,Isha Mehta,Consumer,R07,2023-01-22,Standard
C0014,Pooja Joshi,Corporate,R02,2024-02-17,Platinum
C0015,Ankit Joshi,Corporate,R02,2022-04-08,Standard
C0016,Sneha Kumar,Consumer,R02,2025-09-30,Standard
C0017,Riya Kapoor,Consumer,R03,2022-07-27,Gold
C0018,Meera Verma,Corporate,R04,2023-08-09,Standard
C0019,Kabir Gupta,Corporate,R03,2022-06-15,Standard
C0020,Aditya Patel,Consumer,R03,2022-01-22,Standard
C0021,Neha Kapoor,Small Business,R05,2022-06-03,Standard
C0022,Ankit Gupta,Consumer,R01,2025-08-11,Standard
C0023,Ankit Sharma,Consumer,R03,2022-08-07,Standard
C0024,Pooja Yadav,Small Business,R03,2023-10-31,Standard
C0025,Kabir Mishra,Consumer,R04,2022-08-18,Standard
C0026,Isha Verma,Corporate,R06,2022-01-20,Gold
C0027,Ankit Kapoor,Consumer,R02,2023-07-07,Standard
C0028,Vivek Kumar,Consumer,R04,2024-08-07,Standard
C0029,Sneha Patel,Small Business,R05,2022-05-28,Gold
C0030,Kabir Patel,Consumer,R01,2025-02-05,Silver
C0031,Rahul Singh,Small Business,R05,2023-02-07,Standard
C0032,Arjun Mishra,Consumer,R02,2023-08-19,Platinum
C0033,Aarav Kumar,Consumer,R01,2023-01-02,Standard
C0034,Ananya Yadav,Consumer,R08,2025-12-08,Standard
C0035,Ananya Malhotra,Corporate,R08,2025-08-25,Gold
C0036,Pooja Mehta,Consumer,R06,2024-03-12,Silver
C0037,Karan Malhotra,Small Business,R03,2024-07-06,Standard
C0038,Sneha Kapoor,Consumer,R01,2025-03-03,Standard
C0039,Aditi Singh,Small Business,R05,2025-07-30,Silver
C0040,Meera Mehta,Consumer,R04,2022-03-14,Standard
C0041,Rohan Singh,Small Business,R01,2023-04-26,Gold
C0042,Rohan Verma,Corporate,R04,2025-10-07,Standard
C0043,Aarav Mehta,Corporate,R01,2023-07-14,Gold
C0044,Rohan Malhotra,Corporate,R07,2025-09-11,Silver
C0045,Neha Gupta,Corporate,R03,2024-01-15,Gold
C0046,Priya Malhotra,Corporate,R05,2022-04-10,Silver
C0047,Aditya Mehta,Consumer,R03,2024-12-18,Silver
C0048,Pooja Verma,Consumer,R04,2023-05-23,Standard
C0049,Meera Sharma,Small Business,R05,2022-09-15,Standard
C0050,Neha Verma,Corporate,R02,2023-02-17,Standard
C0051,Neha Gupta,Corporate,R08,2024-12-24,Gold
C0052,Arjun Sharma,Consumer,R06,2023-08-18,Gold
C0053,Pooja Verma,Consumer,R08,2025-03-23,Standard
C0054,Neha Kumar,Consumer,R07,2022-09-23,Standard
C0055,Karan Gupta,Corporate,R05,2024-03-31,Standard
C0056,Aditya Malhotra,Consumer,R08,2025-01-07,Silver
C0057,Vivek Singh,Consumer,R01,2025-08-31,Standard
C0058,Priya Verma,Consumer,R02,2023-10-24,Gold
C0059,Riya Kumar,Consumer,R01,2024-08-04,Platinum
C0060,Vihaan Mehta,Corporate,R03,2023-07-14,Standard
C0061,Riya Mishra,Consumer,R03,2024-07-05,Standard
C0062,Ankit Gupta,Corporate,R03,2024-06-09,Standard
C0063,Aditya Gupta,Consumer,R07,2025-06-25,Standard
C0064,Rahul Gupta,Consumer,R03,2024-05-17,Standard
C0065,Rohan Malhotra,Consumer,R03,2023-09-02,Standard
C0066,Pooja Patel,Consumer,R05,2023-02-18,Gold
C0067,Neha Mehta,Consumer,R01,2022-01-25,Standard
C0068,Ananya Sharma,Consumer,R06,2022-10-11,Silver
C0069,Ankit Sharma,Corporate,R01,2024-05-30,Gold
C0070,Aditi Joshi,Consumer,R08,2022-10-28,Gold
C0071,Meera Kapoor,Corporate,R06,2024-12-27,Standard
C0072,Vihaan Yadav,Small Business,R02,2024-10-27,Silver
C0073,Kabir Joshi,Corporate,R01,2024-03-27,Standard
C0074,Kabir Mishra,Consumer,R06,2025-03-06,Gold
C0075,Isha Mishra,Consumer,R05,2025-04-02,Silver
C0076,Meera Gupta,Consumer,R06,2022-03-24,Silver
C0077,Rohan Sharma,Consumer,R06,2025-12-14,Standard
C0078,Priya Mishra,Small Business,R01,2025-01-01,Gold
C0079,Isha Mehta,Consumer,R03,2025-06-14,Standard
C0080,Ankit Sharma,Consumer,R01,2022-02-15,Standard
C0081,Vivek Verma,Corporate,R07,2023-09-10,Standard
C0082,Rohan Gupta,Corporate,R05,2024-07-16,Standard
C0083,Neha Singh,Consumer,R03,2022-09-19,Standard
C0084,Vivek Singh,Consumer,R01,2022-06-25,Gold
C0085,Pooja Malhotra,Consumer,R03,2025-04-04,Platinum
C0086,Neha Malhotra,Consumer,R03,2023-10-19,Standard
C0087,Arjun Mehta,Consumer,R06,2024-04-21,Standard
C0088,Karan Verma,Consumer,R05,2023-01-05,Standard
C0089,Isha Kumar,Consumer,R07,2022-02-23,Standard
C0090,Ankit Sharma,Consumer,R04,2023-11-21,Standard
C0091,Rohan Singh,Consumer,R01,2025-12-13,Gold
C0092,Vivek Sharma,Consumer,R05,2025-09-26,Standard
C0093,Pooja Mehta,Consumer,R06,2025-02-24,Standard
C0094,Neha Patel,Corporate,R05,2025-12-03,Standard
C0095,Meera Joshi,Corporate,R06,2023-01-02,Gold
C0096,Vihaan Mishra,Consumer,R04,2025-07-18,Silver
C0097,Arjun Joshi,Consumer,R04,2023-10-06,Platinum
C0098,Priya Patel,Consumer,R03,2023-01-14,Gold
C0099,Karan Patel,Corporate,R01,2022-03-14,Standard
C0100,Kabir Joshi,Corporate,R01,2024-07-03,Standard
C0101,Neha Mishra,Consumer,R01,2025-06-25,Silver
C0102,Vivek Joshi,Small Business,R05,2024-05-09,Standard
C0103,Sneha Malhotra,Consumer,R03,2022-02-12,Silver
C0104,Vihaan Kapoor,Consumer,R04,2023-01-12,Standard
C0105,Neha Gupta,Corporate,R07,2024-11-30,Standard
C0106,Aditi Malhotra,Small Business,R03,2022-06-19,Silver
C0107,Priya Mishra,Corporate,R03,2022-07-31,Silver
C0108,Ankit Singh,Corporate,R06,2022-02-08,Gold
C0109,Karan Verma,Consumer,R02,2023-01-04,Standard
C0110,Priya Patel,Corporate,R01,2024-01-27,Silver
C0111,Aditi Kapoor,Consumer,R03,2022-05-31,Standard
C0112,Pooja Malhotra,Small Business,R02,2025-02-08,Standard
C0113,Vihaan Gupta,Consumer,R08,2025-12-30,Standard
C0114,Karan Singh,Corporate,R06,2024-12-06,Standard
C0115,Rahul Yadav,Consumer,R05,2024-10-20,Standard
C0116,Karan Joshi,Corporate,R07,2024-01-07,Standard
C0117,Simran Yadav,Consumer,R06,2025-10-21,Standard
C0118,Ananya Joshi,Corporate,R02,2022-03-10,Standard
