SalespersonID,SalespersonName,RegionID,Channel
S001,Aarav Kapoor,R01,Enterprise Sales
S002,Vihaan Sharma,R02,Inside Sales
S003,Vihaan Verma,R03,Inside Sales
S004,Vihaan Singh,R04,Enterprise Sales
S005,Vihaan Kumar,R05,Field Sales
S006,Vihaan Gupta,R06,Inside Sales
S007,Vihaan Mehta,R07,Inside Sales
S008,Vihaan Patel,R08,Inside Sales
S009,Vihaan Joshi,R01,Enterprise Sales
S010,Vihaan Mishra,R02,Inside Sales
S011,Vihaan Yadav,R03,Enterprise Sales
S012,Vihaan Malhotra,R04,Enterprise Sales
S013,Vihaan Kapoor,R05,Enterprise Sales
S014,Aditya Sharma,R06,Inside Sales
S015,Aditya Verma,R07,Enterprise Sales
S016,Aditya Singh,R08,Field Sales
S017,Aditya Kumar,R01,Inside Sales
S018,Aditya Gupta,R02,Inside Sales
S019,Aditya Mehta,R03,Inside Sales
S020,Aditya Patel,R04,Inside Sales
S021,Aditya Joshi,R05,Inside Sales
S022,Aditya Mishra,R06,Enterprise Sales
S023,Aditya Yadav,R07,Enterprise Sales
S024,Aditya Malhotra,R08,Inside Sales
S025,Aditya Kapoor,R01,Enterprise Sales
S026,Arjun Sharma,R02,Inside Sales
S027,Arjun Verma,R03,Enterprise Sales
S028,Arjun Singh,R04,Enterprise Sales
S029,Arjun Kumar,R05,Enterprise Sales
S030,Arjun Gupta,R06,Enterprise Sales
